Tue Aug 13 11:27:09 2024    output.prof

         9665 function calls (9656 primitive calls) in 0.016 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       70    0.004    0.000    0.005    0.000 C:\Users\yonat\PycharmProjects\Tzefa-Language\ErrorCorrection.py:163(findword)
        4    0.002    0.001    0.002    0.001 {built-in method _io.open_code}
        1    0.001    0.001    0.001    0.001 {built-in method builtins.compile}
        1    0.001    0.001    0.001    0.001 {built-in method nt.replace}
       11    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        1    0.001    0.001    0.002    0.002 {built-in method _io.open}
        1    0.000    0.000    0.001    0.001 C:\Users\yonat\PycharmProjects\Tzefa-Language\createdpython.py:1(<module>)
     4403    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.016    0.016 C:\Users\yonat\PycharmProjects\Tzefa-Language\main.py:7(main)
        1    0.000    0.000    0.000    0.000 {built-in method nt.open}
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
     3324    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       26    0.000    0.000    0.004    0.000 C:\Users\yonat\PycharmProjects\Tzefa-Language\ErrorCorrection.py:196(toline)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
        3    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.003    0.003 C:\Users\yonat\PycharmProjects\Tzefa-Language\test.py:1(<module>)
      4/1    0.000    0.000    0.016    0.016 {built-in method builtins.exec}
      202    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\Tzefa-Language\Number2Name.py:1(get_name)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:195(_write_atomic)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        4    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\Tzefa-Language\createdpython.py:468(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\Tzefa-Language\createdpython.py:119(printvars)
      3/2    0.000    0.000    0.010    0.005 <frozen importlib._bootstrap>:1349(_find_and_load)
       28    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       23    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\Tzefa-Language\topy.py:1(makeparenthasis)
        1    0.000    0.000    0.003    0.003 C:\Users\yonat\PycharmProjects\Tzefa-Language\topy.py:422(makepyfile)
       26    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\Tzefa-Language\topy.py:413(makepredict)
        4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
       66    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       94    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       26    0.000    0.000    0.001    0.000 C:\Users\yonat\PycharmProjects\Tzefa-Language\ErrorCorrection.py:188(handelfirstword)
        1    0.000    0.000    0.002    0.002 C:\Users\yonat\anaconda3\envs\basenv\Lib\encodings\__init__.py:71(search_function)
      152    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\Tzefa-Language\createdpython.py:203(__init__)
       52    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       58    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\Tzefa-Language\topy.py:33(tostri)
      3/2    0.000    0.000    0.010    0.005 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      3/2    0.000    0.000    0.009    0.005 <frozen importlib._bootstrap_external>:989(exec_module)
      3/2    0.000    0.000    0.009    0.005 <frozen importlib._bootstrap>:911(_load_unlocked)
       28    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
